,HCl mg/kg w,pH_outlet
0,79.96149741770661,4.0
1,78.616766959328,4.1
2,77.48157937305858,4.2
3,76.49622580786753,4.3
4,75.60930068065362,4.4
5,74.77517907717011,4.5
6,73.9519036060821,4.6
7,73.099422775979,4.7
8,72.1781631940251,4.8
9,71.14796330773633,4.9
10,69.96744772768595,5.0
11,68.5939755401659,5.1
12,66.98434439188645,5.2
13,65.09645579052477,5.3
14,62.89211576687431,5.4
15,60.341019996862435,5.5
16,57.42572012250794,5.6
17,54.14698819906422,5.7
18,50.52855981845684,5.8
19,46.619908855067884,5.9
20,42.4957173176059,6.0
21,38.2512334077496,6.1
22,33.99373275825806,6.2
23,29.831488109524134,6.300000000000001
24,25.862496989697096,6.4
25,22.16530002648212,6.5
26,18.79350171709582,6.6
27,15.774440206200076,6.7
28,13.111364012218829,6.800000000000001
29,10.787837956958638,6.9
30,8.77300018310475,7.0
